種別,文言,ACFに入力するJSON
わざ,敵単体に敵単体に自身の福に応じて威力が強化される{$attr}属性の5回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.2"",""waza_value_last"" : ""2.2"", ""hit_count"" : ""5"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に強力な全属性有利となる{$attr}属性の3回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"",""waza_value_last"" : ""1.3"", ""hit_count"" : ""3"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に強力な{$attr}属性の3回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"",""waza_value_last"" : ""1.3"", ""hit_count"" : ""3"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性の3回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"",""waza_value_last"" : ""1.3"", ""hit_count"" : ""3"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に敵単体に自身の福に応じて威力が強化される{$attr}属性の3回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"",""waza_value_last"" : ""1.3"", ""hit_count"" : ""3"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性の{$val}回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"", ""hit_count"" : ""$val"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に自身の福に応じて威力が強化される{$attr}属性の{$val}回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"", ""hit_count"" : ""$val"",""waza_target"" : ""single_oppo""}"
わざ,敵単体に{$at_prefix}な全属性有利となる{$attr}属性の{$val}回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"", ""hit_count"" : ""$val"",""waza_target"" : ""single_oppo"",""omni_advantage"" : ""true""}"
わざ,敵単体に{$at_prefix}な{$attr}属性の{$val}回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"", ""hit_count"" : ""$val"",""waza_target"" : ""single_oppo""}"
わざ,敵全体に文字数に応じて威力が上昇し、敵の数が少ないほど威力が上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged"",""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""12"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に文字数に応じて威力が上昇し、敵の数が少ないほど威力が上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged"",""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""12"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に文字数に応じて威力が上昇し、敵の数が少ないほど威力が大きく上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged"",""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""15"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に文字数に応じて威力が上昇し、敵の数が少ないほど威力が大きく上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged"",""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""15"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に文字数に応じて威力が上昇し、敵の数が少ないほど威力が超大きく上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged"",""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""18"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に文字数に応じて威力が上昇し、敵の数が少ないほど威力が超大きく上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged"",""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""18"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に文字数に応じて威力が上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""7.5"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に文字数に応じて威力が上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""moji""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""7.5"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に敵の数が少ないほど威力が上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""7.5"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に敵の数が少ないほど威力が上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""7.5"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に敵の数が少ないほど威力が大きく上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""9"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に敵の数が少ないほど威力が大きく上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""9"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に敵の数が少ないほど威力が超大きく上昇する全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""18"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に敵の数が少ないほど威力が超大きく上昇する{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""converged""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""18"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に自身の福に応じて威力が強化される全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""5.1"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に自身の福に応じて威力が強化される{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""5.1"",""waza_target"" : ""all_oppo""}"
わざ,敵全体に{$at_prefix_blast_per_hit}な全属性有利となる{$attr}属性の{$val}回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix_blast_per_hit"",""waza_target"" : ""all_oppo"",""hit_count"" : ""$val"",""omni_advantage"" : ""true""}"
わざ,敵全体に{$at_prefix_blast_per_hit}な{$attr}属性の{$val}回攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix_blast_per_hit"",""waza_target"" : ""all_oppo"",""hit_count"" : ""$val""}"
わざ,敵全体に{$at_prefix_blast}な全属性有利となる{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix_blast"",""waza_target"" : ""all_oppo"",""omni_advantage"" : ""true""}"
わざ,敵全体に{$at_prefix_blast}な{$attr}属性攻撃,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""$at_prefix_blast"",""waza_target"" : ""all_oppo""}"
わざ,12回、ランダムな敵に爆絶強力な全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.05"",""waza_target"" : ""random_oppo"",""hit_count"" : ""12"",""omni_advantage"" : ""true""}"
わざ,12回、ランダムな敵に爆絶強力な{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.05"",""waza_target"" : ""random_oppo"",""hit_count"" : ""12""}"
わざ,9回、ランダムな敵に超絶強力な全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.85"",""waza_value_last"" : ""1.3"",""waza_target"" : ""random_oppo"",""hit_count"" : ""9"",""omni_advantage"" : ""true""}"
わざ,9回、ランダムな敵に超絶強力な{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.85"",""waza_value_last"" : ""1.3"",""waza_target"" : ""random_oppo"",""hit_count"" : ""9""}"
わざ,7回、ランダムな敵に超強力な全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.75"",""waza_value_last"" : ""1.1"",""waza_target"" : ""random_oppo"",""hit_count"" : ""7"",""omni_advantage"" : ""true""}"
わざ,7回、ランダムな敵に超強力な{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.75"",""waza_value_last"" : ""1.1"",""waza_target"" : ""random_oppo"",""hit_count"" : ""7""}"
わざ,5回、ランダムな敵に強力な全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.65"",""waza_value_last"" : ""0.9"",""waza_target"" : ""random_oppo"",""hit_count"" : ""5"",""omni_advantage"" : ""true""}"
わざ,5回、ランダムな敵に強力な{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.65"",""waza_value_last"" : ""0.9"",""waza_target"" : ""random_oppo"",""hit_count"" : ""5""}"
わざ,3回、ランダムな敵に全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.6"",""waza_value_last"" : ""0.75"",""waza_target"" : ""random_oppo"",""hit_count"" : ""3"",""omni_advantage"" : ""true""}"
わざ,3回、ランダムな敵に{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.6"",""waza_value_last"" : ""0.75"",""waza_target"" : ""random_oppo"",""hit_count"" : ""3""}"
わざ,6回、ランダムな敵に超絶強力な全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.1"",""waza_value_last"" : ""2.5"",""waza_target"" : ""random_oppo"",""hit_count"" : ""6"",""omni_advantage"" : ""true""}"
わざ,6回、ランダムな敵に超絶強力な{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1.1"",""waza_value_last"" : ""2.5"",""waza_target"" : ""random_oppo"",""hit_count"" : ""6""}"
わざ,4回、ランダムな敵に強力な全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.6"",""waza_value_last"" : ""1.2"",""waza_target"" : ""random_oppo"",""hit_count"" : ""4"",""omni_advantage"" : ""true""}"
わざ,4回、ランダムな敵に強力な{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.6"",""waza_value_last"" : ""1.2"",""waza_target"" : ""random_oppo"",""hit_count"" : ""4""}"
わざ,{$val}回、ランダムな敵に自身の福に応じて威力が強化される全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""fuku""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""0.75"",""waza_value_last"" : ""1.1"",""waza_target"" : ""random_oppo"",""hit_count"" : ""$val"",""omni_advantage"" : ""true""}"
わざ,{$val}回、ランダムな敵に{$at_prefix}な全属性有利となる{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"",""waza_target"" : ""random_oppo"",""hit_count"" : ""$val"",""omni_advantage"" : ""true""}"
わざ,{$val}回、ランダムな敵に{$at_prefix}な{$attr}属性攻撃を与える,"{""waza_type"" : ""attack"", ""attack_type"" : [""normal""], ""attack_attr"" : ""$attr"", ""waza_value"" : ""1"",""waza_target"" : ""random_oppo"",""hit_count"" : ""$val""}"
わざ,{$waza_target}に{$attr}属性の各1回攻撃,"{""waza_type"" : ""colorfull_attack"",""colorfull_attack_attr"" : ""$attr"" , ""waza_value"" : ""1"", ""waza_target"" : ""$waza_target""}"
わざ,わざ・すごわざを発動させた「{$affiliation}」のコトダマンと同じ属性で{$waza_target}に攻撃,"{""waza_type"" : ""coop_attack"", ""waza_value"" : ""3"", ""waza_target"" : ""$waza_target"",""coop_target"": $affiliation}"
わざ,このターンわざ・すごわざを発動させた「{$affiliation}」のコトダマンと同じ属性で{$waza_target}に攻撃,"{""waza_type"" : ""coop_attack"", ""waza_value"" : ""3"", ""waza_target"" : ""$waza_target"",""coop_target"": $affiliation}"
わざ,わざ・すごわざを発動させた「{$affiliation}」のコトダマンと同じ属性で{$waza_target}に{$at_prefix}な攻撃,"{""waza_type"" : ""coop_attack"", ""waza_value"" : ""$at_prefix"", ""waza_target"" : ""$waza_target"",""coop_target"": $affiliation}"
わざ,このターンわざ・すごわざを発動させた「{$affiliation}」のコトダマンと同じ属性で{$waza_target}に{$at_prefix}な攻撃,"{""waza_type"" : ""coop_attack"", ""waza_value"" : ""$at_prefix"", ""waza_target"" : ""$waza_target"",""coop_target"": $affiliation}"
わざ,わざ・すごわざ発動させた味方が{$command_prefix}な{$attr}攻撃,"{""waza_type"" : ""command"", ""waza_value"" : ""$command_prefix"",""attack_attr"" : ""$attr""}"
わざ,わざ・すごわざ発動させた味方が{$attr}属性攻撃,"{""waza_type"" : ""command"", ""waza_value"" : ""1.2"",""attack_attr"" : ""$attr""}"
わざ,このターンわざ・すごわざ発動させた味方が{$comand_prefix}な{$attr}属性攻撃,"{""waza_type"" : ""command"", ""waza_value"" : ""$command_prefix"",""attack_attr"" : ""$attr""}"
わざ,わざ・すごわざを発動させた味方がわざを発動する,"{""waza_type"" : ""waza_command""}"
わざ,HPを{$heal_prefix}回復する,"{""waza_type"" : ""heal"", ""waza_value"" : ""$heal_prefix""}"
わざ,HPを回復する,"{""waza_type"" : ""heal"", ""waza_value"" : ""1""}"
わざ,HPを回復,"{""waza_type"" : ""heal"", ""waza_value"" : ""1""}"
わざ,文字数に応じて効果量が上昇するHP回復,"{""waza_type"" : ""heal"", ""waza_value"" : ""2.3"",""is_moji_healing"" : true}"
わざ,このターン攻撃する{$waza_character_target}のATKを{$prefix},"{""waza_type"" : ""atk_buff"", ""waza_value"" : ""$prefix"",""waza_target"" : ""$waza_character_target""}"
わざ,手札の味方にATK{$prefix}を{$val}ターン付与,"{""waza_type"" : ""atk_buff"", ""waza_value"" : ""$prefix"",""waza_target"" : ""hand_ally"",""turn_count"" : ""$val""}"
わざ,手札の{$attr}にATK{$prefix}を{$val}ターン付与,"{""waza_type"" : ""atk_buff"", ""waza_value"" : ""$prefix"",""waza_target"" : ""limited_hand"",""waza_target_detail"": ""attr"",""target_detail_attr"" : ""$attr"",""turn_count"" : ""$val""}"
わざ,手札の{$species}にATK{$prefix}を{$val}ターン付与,"{""waza_type"" : ""atk_buff"", ""waza_value"" : ""$prefix"",""waza_target"" : ""limited_hand"",""waza_target_detail"": ""species"",""target_detail_species"" : ""$species"",""turn_count"" : ""$val""}"
わざ,手札の{$affiliation}にATK{$prefix}を{$val}ターン付与,"{""waza_type"" : ""atk_buff"", ""waza_value"" : ""$prefix"",""waza_target"" : ""limited_hand"",""waza_target_detail"": ""group"",""target_detail_group"" : ""$affiliation"",""turn_count"" : ""$val""}"
わざ,このターン{$waza_character_target}の受けるダメージを{$prefix},"{""waza_type"" : ""def_buff"", ""waza_value"" : ""$prefix"",""waza_target"" : ""$waza_character_target""}"
わざ,自身に被ダメージ{$prefix}状態を{$val}ターン付与,"{""waza_type"" : ""def_debuff"", ""waza_value"" : ""$prefix"",""turn_count"" : ""$val"",""waza_target"" : ""self""}"
わざ,敵単体に被ダメージ{$prefix}状態を{$val}ターン付与,"{""waza_type"" : ""def_debuff"", ""waza_value"" : ""$prefix"",""turn_count"" : ""$val"",""waza_target"" : ""single_oppo""}"
わざ,敵全体に被ダメージ{$prefix}状態を{$val}ターン付与,"{""waza_type"" : ""def_debuff"", ""waza_value"" : ""$prefix"",""turn_count"" : ""$val"",""waza_target"" : ""all_oppo""}"
わざ,このターン攻撃する{$waza_character_target}のクリティカル発生率を{$prefix},"{""waza_type"" : ""crit_buff"", ""waza_value"" : ""$prefix"",""waza_target"" : ""$waza_character_target""}"
わざ,{$waza_target}に重圧{$val}を{$val2}ターン付与,"{""waza_type"" : ""preassure"", ""waza_value"" : ""$val"",""turn_count"" : ""$val2"",""waza_target"" : ""$waza_target"",""preassure_debuff_count"" : ""2,4""}"
わざ,自身に100%狙われる効果を付与,"{""waza_type"" : ""taunt"", ""waza_value"" : ""4"",""waza_target"" : ""self""}"
わざ,このターン盤面に出ている{$waza_character_target}に敵から受けるダメージを1回無効化するバリアを付与,"{""waza_type"" : ""barrier"",""waza_target"" : ""$waza_character_target""}"
わざ,手札の{$waza_character_target}の味方に{$resistance}を防ぐ効果を{$val}ターン付与,"{""waza_type"" : ""status_barrier"", ""waza_target"" : ""$waza_character_target"",""turn_count"" : ""$val"",""target_status"" : ""$resistance""}"
わざ,{$attr1}クリティカル発生率{$val4}%UP・{$attr2}属性威力{$val}%・{$species}種族威力{$val2}%UP効果のフィールドを{$val3}ターン展開,"{""waza_type"" : ""battle_field"",""battle_field_roop"" : [{""battle_field_target"" : ""attribute"",""battle_field_attr"" : $attr1,""battle_field_value_type"" : ""crit_rate"",""battle_field_value"" : ""$val4""},{""battle_field_target"" : ""attribute"",""battle_field_attr"" : $attr2,""battle_field_value_type"" : ""normal"",""battle_field_value"" : ""$val""},{""battle_field_target"" : ""species"",""battle_field_species"" : $species,""battle_field_value_type"" : ""normal"",""battle_field_value"" : ""$val2""}],""turn_count"" : ""$val3""}"
わざ,{$attr}属性威力{$val}%・{$species}種族威力{$val2}%UP効果のフィールドを{$val3}ターン展開,"{""waza_type"" : ""battle_field"",""battle_field_roop"" : [{""battle_field_target"" : ""attribute"",""battle_field_attr"" : $attr,""battle_field_value_type"" : ""normal"",""battle_field_value"" : ""$val""},{""battle_field_target"" : ""species"",""battle_field_species"" : $species,""battle_field_value_type"" : ""normal"",""battle_field_value"" : ""$val2""}],""turn_count"" : ""$val3""}"
わざ,{$attr}属性威力{$val}%UP効果のフィールドを{$val3}ターン展開,"{""waza_type"" : ""battle_field"",""battle_field_roop"" : [{""battle_field_target"" : ""attribute"",""battle_field_attr"" : $attr,""battle_field_value_type"" : ""normal"",""battle_field_value"" : ""$val""}],""turn_count"" : ""$val3""}"
わざ,自身の1文字前のコトダマンのわざ・すごわざをマネして発動する,"{""waza_type"" : ""imparsonation""}"
わざ条件,{$val}文字以上の場合、,"{""condition_type"" : ""moji_count"",""condition_value"" : ""$val""}"
わざ条件,{$val}文字以上の時、,"{""condition_type"" : ""moji_count"",""condition_value"" : ""$val""}"
わざ条件,{$val}文字以上で、,"{""condition_type"" : ""moji_count"",""condition_value"" : ""$val""}"
わざ条件,{$val}テーマのことばを作った場合、,"{""condition_type"" : ""theme"",""condition_value"" : ""$val""}"
わざ条件,{$val}テーマのことばを作った時、,"{""condition_type"" : ""theme"",""condition_value"" : ""$val""}"
わざ条件,{$val}コンボ以上の場合、,"{""condition_type"" : ""comb"",""condition_value"" : ""$val""}"
わざ条件,{$val}コンボ以上の時、,"{""condition_type"" : ""comb"",""condition_value"" : ""$val""}"
わざ条件,{$val}コンボ以上で、,"{""condition_type"" : ""comb"",""condition_value"" : ""$val""}"
わざ条件,HPが{$val}%以下の場合、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""$val"", ""hp_cond_detail"" : ""less""}"
わざ条件,HPが{$val}%以下の時、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""$val"", ""hp_cond_detail"" : ""less""}"
わざ条件,HPが{$val}%以上の場合、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""$val"", ""hp_cond_detail"" : ""more""}"
わざ条件,HPが{$val}%以上の時、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""$val"", ""hp_cond_detail"" : ""more""}"
わざ条件,HPMAXの場合、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""100"", ""hp_cond_detail"" : ""more""}"
わざ条件,HPMAXの時、,"{""condition_type"" : ""hpcond"", ""condition_value"" : ""100"", ""hp_cond_detail"" : ""more""}"
わざ条件,同時に「{$affiliation}」のコトダマンがわざ・すごわざを発動させていた場合、,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に「{$affiliation}」のコトダマンがわざ・すごわざを発動させていた時、,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に「{$affiliation}」のコトダマンがわざ・すごわざを発動させていた,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に「{$affiliation}」または{$species}種族のコトダマンがわざ・すごわざを発動させていた場合、,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}|{""condition_type"" : ""species"", ""condition_value"" : ""$species"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に「{$affiliation}」または{$species}種族のコトダマンがわざ・すごわざを発動させていた時、,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}|{""condition_type"" : ""species"", ""condition_value"" : ""$species"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に「{$affiliation}」または{$species}種族のコトダマンがわざ・すごわざを発動させていた,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}|{""condition_type"" : ""species"", ""condition_value"" : ""$species"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に「{$affiliation}」または{$attr}属性のコトダマンがわざ・すごわざを発動させていた場合、,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}|{""condition_type"" : ""attr"", ""condition_value"" : ""$attr"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に「{$affiliation}」または{$attr}属性のコトダマンがわざ・すごわざを発動させていた,"{""condition_type"" : ""group"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""simultaneous""}|{""condition_type"" : ""attr"", ""condition_value"" : ""$attr"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,デッキ内に自身以外の「{$affiliation}」が{$val}体以上いる場合、,"{""condition_type"" : ""group"",""condition_value"" : ""$val"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""deck""}"
わざ条件,デッキ内に自身以外の「{$affiliation}」が{$val}体以上いる時、,"{""condition_type"" : ""group"",""condition_value"" : ""$val"", ""condition_affiliation"" : ""$affiliation"",""target_cond_detail"" : ""deck""}"
わざ条件,同時に{$species}種族のコトダマンがわざ・すごわざを発動させていた場合、,"{""condition_type"" : ""species"", ""condition_value"" : ""$species"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に{$species}種族のコトダマンがわざ・すごわざを発動させていた時、,"{""condition_type"" : ""species"", ""condition_value"" : ""$species"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に{$attr}属性のコトダマンがわざ・すごわざを発動させていた場合、,"{""condition_type"" : ""attr"", ""condition_value"" : ""$attr"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,同時に{$attr}属性のコトダマンがわざ・すごわざを発動させていた時、,"{""condition_type"" : ""attr"", ""condition_value"" : ""$attr"",""target_cond_detail"" : ""simultaneous""}"
わざ条件,「{$moji}」の時、,"{""sugo_shift_moji"" : ""$moji""}"
わざ条件,「{$moji}」の場合、,"{""sugo_shift_moji"" : ""$moji""}"
わざ条件,攻撃を{$val}回以上受けた場合、,"{""sugo_shift_attacked"" : ""$val""}"
わざ条件,攻撃を{$val}回以上受けた時、,"{""sugo_shift_attacked"" : ""$val""}"
わざシフトタイプ,自身の文字に応じて効果が変化する,"{""is_normal_field"" : true, ""sugo_shift_type"" : ""moji""}"
わざシフトタイプ,自身の属性に応じて{$attr}属性の時は【.*?】、{$attr2}属性の時は【.*?】に効果が変化する。,"{""is_normal_field"" : true, ""sugo_shift_type"" : ""attr""}|{""sugo_shift_attrs"" : ""[$attr,$attr2]""}"
わざシフトタイプ,このコトダマンがクエスト中に敵から受けた攻撃の回数に応じて効果が変化する,"{""is_normal_field"" : true, ""sugo_shift_type"" : ""attacked""}"
わざシフトタイプ,次の{$val}つからランダムで1つ発動する,"{""is_normal_field"" : true, ""sugo_shift_type"" : ""random""}"
すごわざ発動条件,{$val}文字,"{""sugo_cond_type"" : ""char_count"",""sugo_cond_val"" : ""$val""}"
すごわざ発動条件,{$val}コンボ,"{""sugo_cond_type"" : ""combo"",""sugo_cond_val"" : ""$val""}"
すごわざ発動条件,{$name}のことば,"{""sugo_cond_type"" : ""theme"",""sugo_cond_val"" : ""$name""}"
すごわざ発動条件,{$characters}からはじまる,"{""sugo_cond_type"" : ""start_char"",""sugo_cond_val"" : ""$characters""}"
すごわざ発動条件,{$characters}でおわる,"{""sugo_cond_type"" : ""end_char"",""sugo_cond_val"" : ""$characters""}"
すごわざ発動条件,{$characters}を含む,"{""sugo_cond_type"" : ""char_contain"",""sugo_cond_val"" : ""$characters""}"
